,vote,before_90s,90s,2000s,movie,other,tv movie,video movie,Action,Documentary,Comedy,Drama,Thriller,Romance,Other_genre,United States,United Kingdom,France,Other_country,English,Other_language,rating_category
224,0.8703333849093484,0.0,1.0,0.0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,other
225,-1.2176687371800943,0.0,1.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,top_10pct
226,-0.17366767613537296,0.0,1.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,other
227,1.566334092272496,1.0,0.0,0.0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,top_10pct
228,-0.17366767613537296,0.0,0.0,1.0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,bottom_25pct
229,-1.5656690908616682,0.0,0.0,1.0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,top_10pct
231,0.5223330312277746,1.0,0.0,0.0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,other
234,0.17433267754620083,1.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,other
235,-0.5216680298169467,0.0,1.0,0.0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,other
236,-0.17366767613537296,1.0,0.0,0.0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,other
237,0.8703333849093484,0.0,1.0,0.0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,bottom_25pct
238,0.5223330312277746,0.0,1.0,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,other
239,0.17433267754620083,1.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,other
241,-0.17366767613537296,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,bottom_25pct
243,-0.5216680298169467,1.0,0.0,0.0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,other
246,-1.2176687371800943,0.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,other
247,0.17433267754620083,0.0,0.0,1.0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,bottom_25pct
248,0.8703333849093484,1.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,other
249,-1.2176687371800943,0.0,0.0,1.0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,other
251,-1.5656690908616682,0.0,0.0,1.0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,bottom_25pct
